"filename", "language", "PHP", "JavaScript", "YAML", "Properties", "XML", "JSON", "Markdown", "CSS", "Less", "SCSS", "HTML", "CoffeeScript", "Shell Script", "comment", "blank", "total"
"c:\xampp\htdocs\seniorProject\assets\images\KlaegenBlanc.svg", "XML", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\xampp\htdocs\seniorProject\assets\images\KlaegenNeutre.svg", "XML", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\xampp\htdocs\seniorProject\assets\images\KleagenGrandBon.svg", "XML", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\xampp\htdocs\seniorProject\assets\images\klaegenBlack.svg", "XML", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\xampp\htdocs\seniorProject\assets\images\klaegenPeugrandNoir.svg", "XML", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\xampp\htdocs\seniorProject\assets\vendor\animate-css\animate.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 3055, 0, 0, 0, 0, 0, 11, 558, 3624
"c:\xampp\htdocs\seniorProject\assets\vendor\animate-css\animate.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 7, 2, 11
"c:\xampp\htdocs\seniorProject\assets\vendor\animate-css\vivify.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-colorpicker\css\bootstrap-colorpicker.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 190, 0, 0, 0, 0, 0, 10, 2, 202
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-colorpicker\css\bootstrap-colorpicker.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 9, 0, 10
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-colorpicker\js\bootstrap-colorpicker.js", "JavaScript", 0, 1023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 34, 1107
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-colorpicker\js\bootstrap-colorpicker.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\bootstrap-datepicker.min.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 9
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\bootstrap-datepicker3.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 670, 0, 0, 0, 0, 0, 8, 0, 678
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\css\bootstrap-datepicker.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 463, 0, 0, 0, 0, 0, 8, 0, 471
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\css\bootstrap-datepicker.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 8, 0, 9
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\css\bootstrap-datepicker.standalone.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 496, 0, 0, 0, 0, 0, 8, 0, 504
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\css\bootstrap-datepicker.standalone.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 8, 0, 9
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\css\bootstrap-datepicker3.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 670, 0, 0, 0, 0, 0, 8, 0, 678
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\css\bootstrap-datepicker3.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 8, 0, 9
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\css\bootstrap-datepicker3.standalone.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 699, 0, 0, 0, 0, 0, 8, 0, 707
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\css\bootstrap-datepicker3.standalone.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 8, 0, 9
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\js\bootstrap-datepicker.js", "JavaScript", 0, 1864, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 157, 2097
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\js\bootstrap-datepicker.min.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 9
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\locales\bootstrap-datepicker.ar.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
